Gene,Value,Normalized_Value
HIST1H4K,430311,215.1555
HIST1H2AK,430410,215.205
HIST1H2BN,429995,214.9975
HIST1H2AL,430379,215.1895
HIST1H1B,430245,215.1225
HIST1H3I,430406,215.203
HIST1H4L,430313,215.1565
PGBD1,430813,215.4065
HIST1H1E,430186,215.093
HIST1H2BD,430082,215.041
ZKSCAN4,430324,215.162
ZSCAN12,430646,215.323
ZNF165,430523,215.2615
NKAPL,430612,215.306
OR2B2,430333,215.1665
NT5C2,430246,215.123
ZSCAN23,430901,215.4505
EI24,430214,215.107
ZNF184,430132,215.066
ZKSCAN3,430319,215.1595
MAD1L1,430204,215.102
CNNM2,430415,215.2075
AS3MT,430584,215.292
STT3A,430501,215.2505
CHEK1,429520,214.76
HIST1H2BL,429965,214.9825
HIST1H3H,430146,215.073
HIST1H2AJ,430126,215.063
HIST1H2BM,429890,214.945
PATE1,431408,215.704
SCGN,430345,215.1725
SLC17A1,430099,215.0495
HIST1H4J,429796,214.898
PLCB2,429960,214.98
HIST1H2BC,429973,214.9865
HIST1H2AC,430068,215.034
SLC17A3,430176,215.088
BTN3A2,430433,215.2165
BTN2A2,430547,215.2735
BTN2A1,430443,215.2215
HIST1H1T,430365,215.1825
HFE,429982,214.991
HIST1H4C,429710,214.855
SLC17A4,430313,215.1565
TCF4,430013,215.0065
GPX5,430571,215.2855
AK3,430153,215.0765
PRSS16,430823,215.4115
NUDT1,430260,215.13
SNX8,430377,215.1885
CCDC39,431086,215.543
HIST1H2BJ,430121,215.0605
HIST1H2AG,430233,215.1165
PKNOX2,430523,215.2615
PIK3C2A,429640,214.82
HIST1H3C,429884,214.942
HIST1H1C,429858,214.929
BTN1A1,430403,215.2015
CUL9,430622,215.311
ITIH4,430015,215.0075
MUSTN1,431750,215.875
HLA-DRB5,430349,215.1745
ITIH3,430316,215.158
SDCCAG8,430690,215.345
AGBL3,1998002,999.001
LY6G6F,431515,215.7575
TCP10L,430250,215.125
CALN1,430508,215.254
NGEF,430607,215.3035
MFHAS1,430544,215.272
DPYD,430257,215.1285
ITIH1,430275,215.1375
MMP16,430183,215.0915
FEZ1,430429,215.2145
HIST1H1A,430216,215.108
HIST1H3A,430188,215.094
HIST1H4A,430090,215.045
HIST1H4B,429885,214.9425
HIST1H3B,430354,215.177
IFT172,430562,215.281
FNDC4,430831,215.4155
NTRK3,429930,214.965
APP,429145,214.5725
TXNRD2,430440,215.22
BANK1,430742,215.371
SRF,429842,214.921
BTNL2,430602,215.301
HMGN4,430106,215.053
GGA3,430455,215.2275
GIGYF2,430420,215.21
CDH12,430682,215.341
HIST1H2AB,430332,215.166
LUZP2,430560,215.28
FOXN2,430486,215.243
CTNND1,429748,214.874
TMEM132E,2000000,1000
PSD3,430107,215.0535
TRIM38,430286,215.143
BTN3A1,430423,215.2115
CREB3L1,430564,215.282
TMX2,430338,215.169
SFMBT1,430525,215.2625
KIAA0391,430557,215.2785
SLCO4C1,430744,215.372
CWF19L2,430211,215.1055
GCKR,430269,215.1345
CLP1,429943,214.9715
VRK2,429816,214.908
FANCL,430132,215.066
ZDHHC5,430375,215.1875
MED19,430193,215.0965
WDR18,430160,215.08
GRIN3B,430666,215.333
DPF3,430264,215.132
GRM3,429862,214.931
MAGOH,430001,215.0005
LRP8,430341,215.1705
PROX2,431216,215.608
ZDHHC2,430602,215.301
ZSCAN20,430530,215.265
SERPINF2,430362,215.181
SERPINF1,430438,215.219
VPS37A,430284,215.142
DNAJC19,430085,215.0425
YPEL4,430836,215.418
CALHM1,431874,215.937
CALHM3,2000000,1000
ABT1,430015,215.0075
EMX1,430457,215.2285
TMEM151B,430616,215.308
SPATS1,430973,215.4865
DNAJA3,429997,214.9985
NMRAL1,430623,215.3115
HMOX2,430052,215.026
FOXP1,430359,215.1795
INHBA,430404,215.202
KIF5C,430539,215.2695
SNX19,430514,215.257
FAM120AOS,431812,215.906
RRP12,430132,215.066
HIST1H3J,430118,215.059
MYLK4,430385,215.1925
CDC5L,429680,214.84
FEZF1,430986,215.493
THRB,430268,215.134
FXR1,429942,214.971
ZSWIM4,430925,215.4625
TTC23,430264,215.132
SLFN5,430479,215.2395
DIP2B,430463,215.2315
UNC5B,430414,215.207
KATNAL2,430811,215.4055
HIST1H2AM,430310,215.155
HIST1H2BO,430200,215.1
SUFU,430420,215.21
CADPS2,430445,215.2225
XPR1,430589,215.2945
UBE2D2,429845,214.9225
LRP5,430396,215.198
SFXN2,430779,215.3895
PTBP2,430026,215.013
NCAN,430230,215.115
HAPLN4,431414,215.707
ARL3,430596,215.298
RIMS1,430108,215.054
SLC9A9,430671,215.3355
SLC17A2,430253,215.1265
SPOCK1,430575,215.2875
GNL3,429874,214.937
GLT8D1,430290,215.145
GLDC,430503,215.2515
PBRM1,429970,214.985
TRIM8,430434,215.217
CDH13,430453,215.2265
SLCO6A1,430667,215.3335
XYLB,430525,215.2625
CYP2C9,429995,214.9975
AKT3,429657,214.8285
HIST1H2BK,429911,214.9555
HIST1H2AH,430181,215.0905
CYP17A1,430193,215.0965
MC3R,430639,215.3195
HIST1H4I,429751,214.8755
SLC4A10,430565,215.2825
KLHL1,430636,215.318
TBC1D12,430789,215.3945
SH3GL3,429931,214.9655
CORO7,430487,215.2435
