Module	lymph.node	stomach	appendix	parathyroid.gland	skeletal.muscle	endometrium	urinary.bladder	seminal.vesicle	colon	gallbladder	skin	adipose.tissue	esophagus	prostate	rectum	kidney	duodenum	placenta	testis	cervix..uterine	fallopian.tube	liver	spleen	bone.marrow	tonsil	breast	epididymis	adrenal.gland	thyroid.gland	salivary.gland	smooth.muscle	lung	ovary	pancreas	cerebral.cortex	small.intestine	heart.muscle
P1_I2_M24	-0.0303581814249688	-0.0186852808414877	-0.0299618231875687	-0.0320896178739224	-0.0324220824110911	-0.0316847759214883	-0.0262431874997861	-0.0309704933980533	-0.0248634155646695	-0.0220856701063571	-0.0276997963200109	0.00726826824526585	-0.0315706025831602	-0.029095922304106	-0.0206127337772297	-0.0265594153992985	-0.0269455031848309	-0.031557021533435	-0.0292764218289637	-0.0311829001549034	-0.0209467496165309	-0.0322530069699161	-0.030776588595081	-0.0308430087066822	-0.0313627146441505	-0.0311525281714953	-0.0315171389060815	-0.0320251907712695	-0.0308039943897979	-0.0178490989654	-0.0321328022464258	-0.0300884824844475	-0.0282693251357977	0.985459915081773	-0.0281899600874955	-0.0188463386537293	-0.0318064096674063
P1_I2_M25	-0.0331284495285699	-0.0314739284784114	-0.0316402713700897	-0.0230214518130822	-0.0404279137192409	-0.0360977240118146	-0.0336828130043886	-0.0217138506459765	-0.0290995781912665	-0.020216828893835	-0.0240323524656052	0.0339032164970863	-0.0300112843072805	-0.0249436805968691	-0.0297100109798617	-0.0248413509794019	-0.0309193277473607	-0.0308720578313481	-0.0280808703043165	-0.0161567743364315	-0.0234373871791613	-0.0355184740188946	-0.0285787645017301	-0.0378890197066039	-0.0312251213811048	-0.0160073630295013	-0.0351751138980251	-0.0286150279546636	-0.0251460273796698	0.983904375726471	-0.0314002840765756	-0.021699613917511	-0.0331839015747465	-0.0319053966619255	-0.0278902547991459	-0.032348123160426	-0.0377171997787215
P1_I2_M8	-0.0491468062823844	-0.0479760596467503	-0.0450180150220427	-0.0113505275053301	0.947969110973332	-0.0322877948270868	-0.0428664983072944	-0.024468704492394	-0.0436729032270416	-0.0392725526502982	-0.0365501692890516	0.158353512849104	-0.00530011489229039	-0.00311675706419863	-0.04850930863652	-0.0323120899612412	-0.0408740370570264	-0.042074753507002	-0.0132869727155738	-0.0406231463990607	-0.0337631495140562	-0.0475423233687955	-0.0434145734404753	-0.0528760824602234	-0.0560919138206369	-0.0464636965525287	-0.0406689395031104	-0.0297176246288294	-0.0329134714460798	-0.0579567962726859	-0.0208356438811926	-0.0407278905448008	-0.0421265640892976	-0.0661783401190332	-0.00253192731350348	-0.0422486887750338	0.148442213390434
P1_I2_M19	-0.0544001161502425	-0.0491009221962468	-0.0507235046848609	-0.0190275038376548	0.299728684762318	-0.0319434711789269	-0.0401932306578156	-0.00425779186594841	-0.0359029237570618	-0.0369150403681707	-0.043049597715589	0.0397773127026686	-0.0211242778235726	-0.00971763251995481	-0.0328654690240102	-0.0136647278678587	-0.0426703443087264	-0.0315100694559127	-0.0384895294082735	-0.0406515941509955	-0.0333774866308472	-0.0452661163167898	-0.0481052445251394	-0.0642714552953519	-0.058618436610773	-0.0390483958125535	-0.0400304587507854	-0.0281338736177598	-0.0248687171489682	-0.0657354778400117	-0.00790207954380335	-0.0407998392161127	-0.0551875906268373	-0.0795305168641774	0.00570491781282746	-0.0404568588488255	0.922329379342744
P1_I2_M9	-0.0524278176377866	-0.0379987831301766	-0.0457119852604007	-0.0355091896970626	-0.0632664065627289	-0.0392657195227195	-0.0244797259207898	-0.0236157095418977	-0.0434895847425756	-0.0303495627448344	0.92187990197372	0.265128699941004	0.137157169640625	-0.0150902830471895	-0.0424972944625572	-0.0548547889949578	-0.0429458787648027	-0.0213567063495083	-0.0380521552548452	-0.0261607493007675	-0.0282325654987461	-0.0641260120764167	-0.0403552513325442	-0.0581861806597447	-0.0142804475370246	0.0181999749014375	-0.0404444672479431	-0.0519129658349974	-0.0383757949805056	-0.0489278741891061	-0.043165683384938	-0.0267900816953995	-0.0524793993473473	-0.0667273218583442	-0.0337188537520512	-0.0398650595955736	-0.0577054465305036
P1_I2_M17	-0.0468428912772582	-0.0291075912722037	-0.0382313626381336	-0.0437026336091112	-0.0547919483226469	-0.0405097724718276	-0.0172729860498997	-0.0367541033076442	-0.038592506029594	-0.023487575313516	0.0947156798793446	0.112070573019909	0.958266885717093	-0.0380307504561989	-0.0406929777999772	-0.045869464913507	-0.0357558020139057	-0.0140087698107689	-0.0428120582625844	-0.0220634889281472	-0.0304523699637351	-0.0511056499057399	-0.0451654544322373	-0.0418575971133502	0.0947304114782123	-0.0265539132879061	-0.0409106415018643	-0.0460977570629659	-0.0397131838083702	-0.0352129770147244	-0.0402406943896168	-0.0278721987308652	-0.0430735700748244	-0.0546751762365192	-0.040900429822075	-0.0371799073855897	-0.0502453468872508
P1_I2_M5	0.529934816141546	-0.0459642200827483	0.359185735160526	-0.0929933815088148	-0.134811492446808	-0.0627773084800318	0.0267105720094589	-0.0884677929354576	-0.0594574932735213	0.0331754758918644	-0.0779994322529218	0.288618053736958	-0.0792098124169401	-0.0736047504718138	-0.0483579107903798	-0.1067630749724	-0.0475491939762	-0.00875461054702169	-0.0772843579621928	-0.0616405293951183	-0.0667162028614568	-0.107041393100271	0.454741375431399	0.127322338372494	0.280422214907016	-0.0752837476105428	-0.103366866953936	-0.0775446375518499	-0.0810784680076328	-0.115586616246088	-0.0378666008576119	0.075943662276074	-0.0974797228662841	-0.142383577557307	-0.0774627145700022	-0.0091346983618073	-0.119473635870177
P1_I2_M14	0.00816216786394613	-0.049986890653814	0.067814245722451	-0.0415407302629504	-0.0738680967377226	-0.0279561288536159	-0.0144137767339513	-0.0508676773407181	-0.0487527864513481	0.0103573944507397	-0.0345143374968764	0.210197998989281	-0.0374865418900653	-0.0385194842009311	-0.0458947875103601	-0.0567021308113868	-0.0415804327434694	0.00958469715266589	-0.0361597885810539	-0.0345763097685285	-0.039558582477822	-0.0651692935872894	0.0487305354503208	0.939597486107916	-0.0289375680493945	-0.0456698615003165	-0.0587174716738269	-0.0414324321438309	-0.0367948590951956	-0.0709518381910749	-0.0167920213900501	0.0088131028773244	-0.0458797083983579	-0.0814026592611882	-0.0364159766613681	-0.0357656835756526	-0.0669497725724849
P1_I2_M15	0.216180396869922	-0.101679530211613	0.0182765194750374	-0.108462794278066	-0.17761739788717	0.160260420055085	-0.00577443899249014	-0.0189600658429277	-0.0275899878903992	-0.0155172680901289	0.089492148776235	-0.303883906374797	-0.0172384167107565	0.0226549498624642	-0.0176300451319388	-0.114631898508065	-0.0793467438087102	-0.00609822324202302	-0.141331927937595	0.141827599982074	0.25613002134526	-0.194644062497279	0.0707030469413354	0.0523589192924255	0.100396520228622	0.308171171236363	0.0288872454380276	-0.0122405229798529	0.0972572931998914	-0.15967559863185	0.0323281167201597	-0.0497379139220546	0.58556991875664	-0.230555183734751	-0.150318706511674	-0.0683681730966707	-0.179191481898729
P1_I2_M16	-0.113714879423282	-0.127715982059001	-0.00123004070601618	-0.034249541422466	-0.17083402644751	0.41867857175214	0.062435329106127	0.319182920032697	-0.0679646276988162	0.151612522100151	-0.0889133455767682	-0.0140019321980522	0.039749772621278	0.19505063752391	-0.0591320413902041	-0.0933989132314852	-0.126474870931064	0.110503204220068	-0.0753502697971315	0.206361938683142	0.114453053724964	-0.175857900787268	-0.0506566674921859	-0.173341828624852	-0.141097381039719	-0.0466472012668042	-0.0422775956168468	-0.0528501369014138	-0.0184308443708878	-0.170157688616049	0.540991313656129	0.0385338807508665	0.0873510284358702	-0.203482165632544	-0.0641711519048702	-0.101411708084614	-0.0715414313874915
