Gene	Module	kME
CFH	P1_I2_M6	0.94
FUCA2	P1_I2_M7	0.82
NFYA	P1_I2_M2	0.86
STPG1	P1_I2_M2	0.89
LAS1L	P1_I2_M3	0.91
KRIT1	P1_I2_M3	0.92
RAD52	P1_I2_M1	0.86
AOC1	P1_I2_M11	0.85
HECW1	P1_I2_M1	0.93
NDUFAF7	P1_I2_M2	0.98
SLC7A2	P1_I2_M7	0.91
SARM1	P1_I2_M1	0.94
RBM6	P1_I2_M3	0.83
CAMKK1	P1_I2_M4	0.92
SLC22A16	P1_I2_M2	0.89
ABCB5	P1_I2_M12	0.82
SLC25A13	P1_I2_M6	0.89
CDC27	P1_I2_M3	0.86
SLC4A1	P1_I2_M14	0.97
CALCR	P1_I2_M1	0.99
DVL2	P1_I2_M3	0.82
MCUB	P1_I2_M5	0.9
DHX33	P1_I2_M1	0.88
THSD7A	P1_I2_M1	0.93
LIG3	P1_I2_M2	0.8
AC004381.6	P1_I2_M2	0.93
CIAPIN1	P1_I2_M2	0.87
MSL3	P1_I2_M5	0.89
CREBBP	P1_I2_M3	0.82
MPO	P1_I2_M14	0.96
PON1	P1_I2_M6	1.0
WDR54	P1_I2_M18	0.92
ABCB4	P1_I2_M6	0.94
KMT2E	P1_I2_M3	0.81
SOX8	P1_I2_M4	0.99
FBXL3	P1_I2_M3	0.81
ITGAL	P1_I2_M5	0.97
YBX2	P1_I2_M2	0.94
KRT33A	P1_I2_M1	0.99
ABCC8	P1_I2_M1	0.9
TMEM132A	P1_I2_M4	0.94
TAC1	P1_I2_M4	0.84
ZNF263	P1_I2_M3	0.95
SPATA20	P1_I2_M2	0.93
CACNA1G	P1_I2_M1	0.92
DLX6	P1_I2_M1	0.98
MAP3K9	P1_I2_M1	0.94
ETV1	P1_I2_M4	0.84
CCL26	P1_I2_M1	0.9
USH1C	P1_I2_M10	0.9
DBF4	P1_I2_M1	0.87
TBXA2R	P1_I2_M1	0.97
LGALS14	P1_I2_M11	0.95
COX10	P1_I2_M2	0.86
PAF1	P1_I2_M3	0.87
ARHGAP44	P1_I2_M7	0.81
ELAC2	P1_I2_M3	0.85
